Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT,Confidence
12/30/2020,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.558,84.293,2020,365,-3.4,6.25,0.08,2.26,43.38,0,1.67,109.62,0.58,0.56,80
12/30/2020,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.429,83.931,2020,365,-3.4,6.25,0.08,2.26,43.38,0,1.67,109.62,0.58,0.56,76
12/30/2020,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.425,83.964,2020,365,-3.4,6.25,0.08,2.26,43.38,0,1.67,109.62,0.58,0.56,53
12/30/2020,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.426,83.973,2020,365,-3.4,6.25,0.08,2.26,43.38,0,1.67,109.62,0.58,0.56,34
12/30/2020,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.44,84.062,2020,365,-3.4,6.25,0.08,2.26,43.38,0,1.67,109.62,0.58,0.56,77
12/30/2020,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.389,84.39,2020,365,-6.34,3.21,-2.94,1.77,41,0,1.87,126.06,0.61,0.58,65
12/28/2020,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.562,84.295,2020,363,-3.63,5.42,-0.27,2.75,53.81,0,1.61,150.38,0.59,0.56,76
12/28/2020,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.56,84.285,2020,363,-3.63,5.42,-0.27,2.75,53.81,0,1.61,150.38,0.59,0.56,82
12/31/2020,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.378,84.034,2020,366,-2.53,8.59,1.76,2.56,42.06,0,1.89,240.94,0.58,0.55,64
12/31/2020,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.379,84.023,2020,366,-2.53,8.59,1.76,2.56,42.06,0,1.89,240.94,0.58,0.55,71
12/31/2020,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.424,83.967,2020,366,-2.53,8.59,1.76,2.56,42.06,0,1.89,240.94,0.58,0.55,73
12/31/2020,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.426,83.957,2020,366,-2.53,8.59,1.76,2.56,42.06,0,1.89,240.94,0.58,0.55,54
1/1/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.551,84.295,2021,1,-0.99,9.33,2.94,2.75,42.12,0,1.62,219.19,0.58,0.55,12
1/1/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.556,84.288,2021,1,-0.99,9.33,2.94,2.75,42.12,0,1.62,219.19,0.58,0.55,33
1/1/2021,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.375,84.012,2021,1,-0.99,9.33,2.94,2.75,42.12,0,1.62,219.19,0.58,0.55,47
1/3/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.55,84.299,2021,3,-0.17,11.64,4.83,3.85,50.31,1.46,1.98,229.25,0.57,0.55,70
1/3/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.556,84.303,2021,3,-0.17,11.64,4.83,3.85,50.31,1.46,1.98,229.25,0.57,0.55,67
1/3/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.559,84.285,2021,3,-0.17,11.64,4.83,3.85,50.31,1.46,1.98,229.25,0.57,0.55,43
1/6/2021,Gandaki,Kaski,Madi,2,Annapurna Conservation Area,28.402,84.163,2021,6,-1.67,9.27,2.61,5.07,80.5,0,1.91,109.56,0.57,0.55,71
1/6/2021,Gandaki,Kaski,Madi,2,Annapurna Conservation Area,28.4,84.153,2021,6,-1.67,9.27,2.61,5.07,80.5,0,1.91,109.56,0.57,0.55,53
1/8/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.551,84.305,2021,8,-1.8,9.87,2.65,2.69,41.75,0,1.94,229.31,0.56,0.55,100
1/8/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.552,84.318,2021,8,-1.8,9.87,2.65,2.69,41.75,0,1.94,229.31,0.56,0.55,100
1/9/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.561,84.314,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,56
1/9/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.552,84.31,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,98
1/9/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.55,84.322,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,90
1/9/2021,Gandaki,manang,Nashong,8,Annapurna Conservation Area,28.547,84.328,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,96
1/9/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.559,84.316,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,58
1/9/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.556,84.312,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,26
1/9/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.553,84.311,2021,9,-0.93,11.98,3.91,3.17,44.94,0,2.05,238.06,0.56,0.55,97
1/9/2021,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.309,84.392,2021,9,-3.76,7.48,0.4,2.87,50.94,0,1.73,252.88,0.59,0.56,42
1/10/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.538,84.321,2021,10,0.16,12.13,4.26,2.56,36.31,0,2.1,222,0.55,0.55,63
1/10/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.553,84.315,2021,10,0.16,12.13,4.26,2.56,36.31,0,2.1,222,0.55,0.55,73
1/10/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.546,84.316,2021,10,0.16,12.13,4.26,2.56,36.31,0,2.1,222,0.55,0.55,80
1/10/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.545,84.306,2021,10,0.16,12.13,4.26,2.56,36.31,0,2.1,222,0.55,0.55,100
1/11/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.545,84.325,2021,11,-1.06,10.82,3.1,2.62,39.88,0,1.88,138.69,0.55,0.54,68
1/11/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.542,84.307,2021,11,-1.06,10.82,3.1,2.62,39.88,0,1.88,138.69,0.55,0.54,65
1/11/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.544,84.321,2021,11,-1.06,10.82,3.1,2.62,39.88,0,1.88,138.69,0.55,0.54,81
1/12/2021,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.54,84.316,2021,12,-2.17,9.83,2.61,2.62,40.56,0,1.94,243.38,0.55,0.54,58
1/18/2021,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.546,83.663,2021,18,-1.09,8.83,3.33,3.36,49.62,0,1.71,177.12,0.54,0.53,51
1/18/2021,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.545,83.658,2021,18,-1.09,8.83,3.33,3.36,49.62,0,1.71,177.12,0.54,0.53,63
1/18/2021,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.545,83.658,2021,18,-1.09,8.83,3.33,3.36,49.62,0,1.71,177.12,0.54,0.53,63
1/18/2021,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.546,83.663,2021,18,-1.09,8.83,3.33,3.36,49.62,0,1.71,177.12,0.54,0.53,51
1/22/2021,Gandaki,Kaski,Madi,2,Annapurna Conservation Area,28.426,84.217,2021,22,-0.59,11.09,3.4,2.38,34.25,0,2.24,163.94,0.53,0.52,90
1/22/2021,Gandaki,Kaski,Madi,2,Annapurna Conservation Area,28.425,84.207,2021,22,-0.59,11.09,3.4,2.38,34.25,0,2.24,163.94,0.53,0.52,83
1/23/2021,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.382,84.027,2021,23,-1.26,9.96,3.53,2.44,36,0,2.14,278.25,0.53,0.52,25
1/26/2021,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.382,84.39,2021,26,-6.79,3.38,-2.98,1.77,41.56,0,2.17,240.44,0.55,0.54,65
1/26/2021,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.391,84.4,2021,26,-6.79,3.38,-2.98,1.77,41.56,0,2.17,240.44,0.55,0.54,22
1/26/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.535,84.353,2021,26,-4.59,6.84,-0.1,1.83,36.38,0,2.19,248.62,0.52,0.52,73
1/26/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.537,84.363,2021,26,-4.59,6.84,-0.1,1.83,36.38,0,2.19,248.62,0.52,0.52,100
1/27/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.54,84.366,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,68
1/27/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.545,84.363,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,41
1/27/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.534,84.356,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,64
1/27/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.539,84.359,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,100
1/27/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.551,84.368,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,85
1/27/2021,Gandaki,manang,Nashong,8,Annapurna Conservation Area,28.549,84.353,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,56
1/27/2021,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.404,83.949,2021,27,-3.45,7.89,0.62,1.77,32.94,0,2.2,217.31,0.52,0.52,31
1/28/2021,Gandaki,manang,Nashong,7,Annapurna Conservation Area,28.552,84.377,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,57
1/28/2021,Gandaki,manang,Nashong,4,Annapurna Conservation Area,28.533,84.344,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,90
1/28/2021,Gandaki,manang,Nashong,7,Annapurna Conservation Area,28.556,84.38,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,100
1/28/2021,Gandaki,manang,Nashong,8,Annapurna Conservation Area,28.55,84.352,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,100
1/28/2021,Gandaki,manang,Nashong,8,Annapurna Conservation Area,28.568,84.362,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,87
1/28/2021,Gandaki,manang,Nashong,5,Annapurna Conservation Area,28.541,84.372,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,100
1/28/2021,Gandaki,manang,Nashong,7,Annapurna Conservation Area,28.558,84.378,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,100
1/28/2021,Gandaki,manang,Nashong,8,Annapurna Conservation Area,28.551,84.346,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,100
1/28/2021,Gandaki,manang,Nashong,8,Annapurna Conservation Area,28.568,84.356,2021,28,-4.16,7.33,0.4,1.77,34.38,0,2.05,91.19,0.52,0.52,80
1/29/2021,Gandaki,manang,Nashong,6,Annapurna Conservation Area,28.558,84.395,2021,29,-5.4,3.64,-1.85,1.95,45,0,1.94,109.38,0.52,0.52,57
1/29/2021,Gandaki,manang,Nashong,7,Annapurna Conservation Area,28.562,84.397,2021,29,-5.4,3.64,-1.85,1.95,45,0,1.94,109.38,0.52,0.52,98
1/29/2021,Gandaki,manang,Nashong,7,Annapurna Conservation Area,28.571,84.394,2021,29,-5.4,3.64,-1.85,1.95,45,0,1.94,109.38,0.52,0.52,92
2/22/2021,Gandaki,Lamjung,Marsyangdi,2,Annapurna Conservation Area,28.359,84.311,2021,53,-3.43,10.08,2.2,3.6,57.06,0,2.28,116.62,0.51,0.51,79
2/22/2021,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.366,84.306,2021,53,-3.43,10.08,2.2,3.6,57.06,0,2.28,116.62,0.51,0.51,75
4/5/2021,Gandaki,Lamjung,Kwholasothar,5,Annapurna Conservation Area,28.294,84.203,2021,95,-2.1,9.76,3.09,2.08,30.25,0,2.37,109,0.49,0.49,78
4/29/2021,Gandaki,Kaski,Annapurna,8,Annapurna Conservation Area,28.326,83.788,2021,119,5.78,15.52,10.01,6.29,60.75,0.99,2.48,208.81,0.44,0.45,64
11/17/2021,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.45624,84.07359,2021,321,3.55,13.26,7.36,4.58,49.5,0,1.52,250.88,0.81,0.8,58
11/17/2021,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.44304,84.06271,2021,321,3.55,13.26,7.36,4.58,49.5,0,1.52,250.88,0.81,0.8,55
11/17/2021,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.44536,84.05878,2021,321,3.55,13.26,7.36,4.58,49.5,0,1.52,250.88,0.81,0.8,53
11/17/2021,Gandaki,Mustang,Thasang,4,Annapurna Conservation Area,28.58048,83.66426,2021,321,-10.23,2.45,-5.51,1.59,35.62,0,3.04,288.81,0.87,0.82,70
2/12/2022,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.33338,84.3776,2022,43,-14.62,3.55,-5.75,2.2,60.81,0.02,3.41,163.5,0.77,0.75,67
2/12/2022,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.33161,84.36713,2022,43,-14.62,3.55,-5.75,2.2,60.81,0.02,3.41,163.5,0.77,0.75,78
3/15/2022,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.4938,83.73306,2022,74,1.84,15.3,8.43,6.53,66,0.02,2.41,105.56,0.68,0.64,38
3/19/2022,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.53786,83.75044,2022,78,6.69,16.41,10.81,7.87,69.75,0,2.16,110.62,0.66,0.62,72
12/4/2022,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.45584,83.77674,2022,338,-0.22,11.11,4.23,3.23,44.12,0,1.93,208.5,0.73,0.7,50
12/5/2022,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.58006,83.68048,2022,339,0.89,10.29,4.07,2.99,41.56,0,1.74,143.81,0.73,0.7,28
12/10/2022,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.59407,84.32777,2022,344,0.03,11.5,4.26,2.75,36.81,0,2.3,302.69,0.73,0.69,53
12/10/2022,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.58154,84.32072,2022,344,0.03,11.5,4.26,2.75,36.81,0,2.3,302.69,0.73,0.69,53
12/10/2022,Gandaki,manang,Nashong,9,Annapurna Conservation Area,28.58154,84.32072,2022,344,0.03,11.5,4.26,2.75,36.81,0,2.3,302.69,0.73,0.69,53
12/11/2022,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.42237,84.36042,2022,345,-1.42,9.39,3.32,2.32,31.19,0,1.77,96.12,0.75,0.73,19
12/11/2022,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.4238,84.38804,2022,345,-1.42,9.39,3.32,2.32,31.19,0,1.77,96.12,0.75,0.73,83
12/13/2022,Gandaki,Kaski,Machhapuchchhre,2,Annapurna Conservation Area,28.38215,84.0231,2022,347,1.34,12.55,5.26,2.75,34.31,0.01,2.14,199.44,0.72,0.68,64
12/21/2022,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.41079,84.39114,2022,355,-2.1,7.01,0.9,3.36,55.88,0,1.52,271.69,0.73,0.7,47
12/21/2022,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.40956,84.40283,2022,355,-2.1,7.01,0.9,3.36,55.88,0,1.52,271.69,0.73,0.7,46
12/21/2022,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.40941,84.39803,2022,355,-2.1,7.01,0.9,3.36,55.88,0,1.52,271.69,0.73,0.7,62
12/22/2022,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.55241,83.65807,2022,356,-1.58,7.91,2.26,2.38,38.31,0,1.72,115.44,0.7,0.66,76
12/24/2022,Gandaki,Mustang,Thasang,4,Annapurna Conservation Area,28.58979,83.58218,2022,358,-18.95,-8.31,-15.04,1.16,62.88,0,5.16,235.06,0.76,0.74,85
1/7/2023,Gandaki,Kaski,Machhapuchchhre,9,Annapurna Conservation Area,28.43786,83.89153,2023,7,-3.74,9.3,1.57,2.5,42.94,0,2.41,106.5,0.67,0.63,88
1/9/2023,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.33826,84.10042,2023,9,-0.65,10.48,3.48,3.05,43.75,0,2.19,110.56,0.66,0.63,44
1/9/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.43703,83.78616,2023,9,-0.65,10.48,3.48,3.05,43.75,0,2.19,110.56,0.66,0.63,80
1/9/2023,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.38967,84.39928,2023,9,-5.94,7.28,0.19,2.69,47.75,0,2.2,109.94,0.7,0.66,76
1/9/2023,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.38787,84.38882,2023,9,-5.94,7.28,0.19,2.69,47.75,0,2.2,109.94,0.7,0.66,47
1/11/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.46316,83.80375,2023,11,-1.99,10.03,2.63,3.17,49.06,0,2.26,164.69,0.66,0.62,41
1/11/2023,Gandaki,Kaski,Machhapuchchhre,9,Annapurna Conservation Area,28.44744,83.91352,2023,11,-1.99,10.03,2.63,3.17,49.06,0,2.26,164.69,0.66,0.62,21
1/10/2023,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.32903,84.35488,2023,10,-4.25,5.26,-0.08,2.56,46.06,0,2.05,107.62,0.7,0.66,34
1/12/2023,Gandaki,Lamjung,Marsyangdi,4,Annapurna Conservation Area,28.41195,84.40004,2023,12,-5.85,2.25,-2.25,3.17,68.38,0,2.27,182.94,0.7,0.66,53
1/13/2023,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.33455,84.38164,2023,13,-7.92,1.24,-4.31,2.81,71.5,0,1.7,148.25,0.7,0.66,38
1/14/2023,Gandaki,Lamjung,Kwholasothar,4,Annapurna Conservation Area,28.31864,84.25458,2023,14,-8.66,1.62,-4.33,3.17,81,0,1.7,152.69,0.7,0.66,32
1/31/2023,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.4206,83.95152,2023,31,-2.12,8.29,2.61,3.05,47.5,0,2,104.5,0.62,0.59,74
1/31/2023,Gandaki,Kaski,Machhapuchchhre,1,Annapurna Conservation Area,28.41926,83.96117,2023,31,-2.12,8.29,2.61,3.05,47.5,0,2,104.5,0.62,0.59,62
1/29/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.43222,83.76773,2023,29,0.16,10.8,4.07,2.87,39.81,0,1.95,126.12,0.62,0.59,52
1/29/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.44197,83.76785,2023,29,0.16,10.8,4.07,2.87,39.81,0,1.95,126.12,0.62,0.59,52
2/11/2023,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.3651,84.32987,2023,42,-4.33,5.87,-0.42,3.42,63.75,0,2.75,249.06,0.62,0.59,0
2/11/2023,Gandaki,Lamjung,Marsyangdi,3,Annapurna Conservation Area,28.36632,84.33985,2023,42,-4.33,5.87,-0.42,3.42,63.75,0,2.75,249.06,0.62,0.59,41
2/11/2023,Gandaki,Myagdi,Annapurna,5,Annapurna Conservation Area,28.48254,83.65849,2023,42,-1.27,9.69,2.82,3.72,57.56,0,2.55,275.56,0.59,0.56,42
2/16/2023,Gandaki,Myagdi,Annapurna,4,Annapurna Conservation Area,28.55758,83.65278,2023,47,0.52,12.96,5.67,3.6,45.19,0,1.84,286.94,0.57,0.55,42
11/22/2023,Gandaki,Kaski,Madi,1,Annapurna Conservation Area,28.42484,84.05679,2023,326,0.59,11.56,5.31,5.13,65.44,0,1.55,126.5,0.76,0.73,66
12/3/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.54211,83.92343,2023,337,-1.44,9.25,2.96,4.09,62.12,0.09,2.07,85.5,0.74,0.71,0
12/3/2023,Gandaki,Kaski,Annapurna,11,Annapurna Conservation Area,28.5423,83.90845,2023,337,-1.44,9.25,2.96,4.09,62.12,0.09,2.07,85.5,0.74,0.71,19
12/3/2023,Gandaki,Myagdi,Annapurna,5,Annapurna Conservation Area,28.46036,83.73975,2023,337,-1.44,9.25,2.96,4.09,62.12,0.09,2.07,85.5,0.74,0.71,73
11/24/2023,far west,Darchula,Byas,1,Api Nampa Conservation Area,30.17971,80.88256,2023,328,-1.48,8.75,2.34,3.85,61.5,0,2.05,114.38,0.5,0.53,63
12/8/2023,far west,Darchula,Byas,2,Api Nampa Conservation Area,29.9385,80.73064,2023,342,-3.47,7.79,0.9,3.42,59.31,0,2.02,121.62,0.51,0.52,46
1/1/2024,far west,Darchula,Dunhu,5,Api Nampa Conservation Area,29.85278,80.61615,2024,1,-5.52,5.74,-1.08,2.2,46.12,0,2.2,104.44,0.45,0.51,62
11/22/2023,far west,Darchula,Byas,1,Api Nampa Conservation Area,30.17452,80.87514,2023,326,-2.6,13.22,4.19,3.54,50.38,0,2.21,106.31,0.5,0.53,65
11/22/2023,far west,Darchula,Byas,1,Api Nampa Conservation Area,30.16864,80.86771,2023,326,-2.6,13.22,4.19,3.54,50.38,0,2.21,106.31,0.5,0.53,43
5/7/2023,far west,Darchula,Apihimal,6,Api Nampa Conservation Area,29.79017,80.81085,2023,127,0.97,12.07,6.33,5.13,62.25,0.01,2.65,180.38,0.64,0.61,34
